N,Title,Keywords,Abstract,Reference,Doi
5618,Basal thumb osteoarthritis surgery improves health state utility irrespective of technique: a study of UK Hand Registry data,"Aged; Carpometacarpal Joints; Female; Humans; Ligaments, Articular; Male; Osteoarthritis/surgery; Quality of Life; Range of Motion, Articular; Registries; Thumb/surgery; Trapezium Bone; United Kingdom; Health Status; Osteoarthritis; Patient Outcome Assessment; patient reported outcome measures; registries; surgical procedures; thumb; trapeziectomy; trapezium bone","We used UK Hand Registry data to study two aspects of basal thumb osteoarthritis surgery: first, whether health-related quality of life improves after surgery Second, whether results from trials comparing simple trapeziectomy and trapeziectomy with ligament reconstruction and tendon interposition are reproducible in routine clinical practice. Prospectively collected EQ5D index and Patient Evaluation Measure part 2 data were compared at baseline and at 3, 6, and 12 months postoperatively in 1456 patients (median age 67 years; 78% female). A mixed-effects regression model was also used to determine the postoperative trajectory of these variables. There was a significant improvement in the EQ5D index (median + 0.15; (interquartile range 0 to 0.40)) and Patient Evaluation Measure (-22; (-33 to -10)) by 1 year postoperatively and with no meaningful difference between the two techniques. This study demonstrates health state utility gains after basal thumb osteoarthritis surgery regardless of surgical techniques used. Level of evidence: III",J Hand Surg Eur Vol. 2020 Jun;45(5):436-442,10.1177/1753193420909753
11796,Health State Utility Value in Chronic Obstructive Pulmonary Disease (COPD); The Challenge of Heterogeneity: A Systematic Review and Meta-Analysis,"Health Status; Health Status Indicators; Humans; Patient Reported Outcome Measures; Pulmonary Disease, Chronic Obstructive/economics/physiopathology/psychology; Quality of Life; Chronic Obstructive Pulmonary Disease (COPD); EQ-5D; Quality of Life (QoL); chronic disease; heterogeneity; utility","Chronic obstructive pulmonary disease (COPD) has a considerable impact on quality of life and well-being of patients. Health state utility value (HSUV) is a recognized measure for health economic appraisals and is extensively used as an indicator for decision-making studies. This study is a systematic review of literature aimed to estimate mean utility value in COPD using meta-analysis and explore degree of heterogeneity in the utility values across a variety of clinical and study characteristic. The literature review covers studies that used EQ-5D to estimate utility value for patient level research in COPD. Studies that reported utility values elicited by EQ-5D in COPD patients were selected for random-effect meta-analysis addressing inter-study heterogeneity and subgroup analyses. Thirty-two studies were included in the general utility meta-analysis The estimated general utility value was 0.673 (95% CI 0.653 to 0.693) Meta-analyses of COPD stages utility values showed influence of airway obstruction on utility value. The utility values ranged from 0.820 (95% CI 0.767 to 0.872) for stage I to 0.624 (95% CI 0.571 to 0.677) for stage IV. There was substantial heterogeneity in utility values: I(2) = 97.7%. A more accurate measurement of utility values in COPD is needed to refine valid and generalizable scores of HSUV. Given the limited success of the factors studied to reduce heterogeneity, an approach needs to be developed how best to use mean utility values for COPD in health economic evaluation",COPD. 2016 Jun;13(3):380-98,10.3109/15412555.2015.1092953
14996,Comparison of outcome measures for patients with chronic obstructive pulmonary disease (COPD) in an outpatient setting,"Aged; Ambulatory Care; England; Feasibility Studies; Female; Health Status Indicators; Humans; Lung Diseases, Obstructive/therapy; Male; Middle Aged; Outcome Assessment, Health Care/methods; Outpatient Clinics, Hospital/standards/statistics & numerical data; Quality of Life; Reproducibility of Results; Surveys and Questionnaires; Treatment Outcome","BACKGROUND: To assist clinicians and researchers in choosing outcome measures for patients with chronic obstructive pulmonary disease attending routine outpatient clinics, a comparative assessment was undertaken of four questionnaires designed to reflect the patients' perception of their physical and emotional health in terms of their feasibility, validity, reliability, and responsiveness to health change. METHODS: Two condition specific questionnaires, the St George's Respiratory Questionnaire (SGRQ) and Guyatt's Chronic Respiratory Questionnaire (CRQ), and two generic questionnaires, the Short Form-36 Health Survey (SF-36) and Euroqol (EQ), were compared for their discriminative and evaluative properties. Spirometric tests and a walking test were also performed. One hundred and fifty six adults who were clinically judged to have COPD and who attended an outpatient chest clinic were assessed at recruitment and six and 12 months later Patients were also asked whether their health had changed since their last assessment. RESULTS: Completion rates and consistency between items for dimensions of the SGRQ were lower than for dimensions of the other questionnaires. The distributions of responses were skewed for certain dimensions in all questionnaires except the CRQ. Validity was supported for all instruments insofar as patients' scores were associated with differences in disease severity The generic questionnaires better reflected other health problems. All instruments were reliable over time. The condition specific questionnaires were more responsive between baseline and first follow up visit but this difference did not persist. While certain dimensions of the SF-36 were responsive to patient perceived changes, this did not apply to the derived single index of the EQ. The rating scale of the EQ, however, provided a quick and easy indicator of change CONCLUSIONS: Evidence from this study supports the CRQ and the SF-36 as comprehensive outcome measures for patients with longstanding COPD",Thorax. 1997 Oct;52(10):879-87,10.1136/thx.52.10.879
10746,Cost-effectiveness and quality-of-life analysis of physician-staffed helicopter emergency medical services,Adult; Air Ambulances/economics/standards; Cohort Studies; Cost-Benefit Analysis; Emergency Medicine/economics/standards; Emergency Treatment/economics/mortality/standards; Female; Humans; Male; Middle Aged; Netherlands/epidemiology; Quality of Health Care; Quality-Adjusted Life Years; Wounds and Injuries/economics/mortality/therapy,"BACKGROUND: The long-term health outcomes and costs of helicopter emergency medical services (HEMS) assistance remain uncertain. The aim of this study was to investigate the cost-effectiveness of HEMS assistance compared with emergency medical services (EMS). METHODS: A prospective cohort study was performed at a level I trauma centre. Quality-of-life measurements were obtained at 2 years after trauma, using the EuroQol-Five Dimensions (EQ-5D) as generic measure to determine health status. Health outcomes and costs were combined into costs per quality-adjusted life year (QALY). RESULTS: The study population receiving HEMS assistance was more severely injured than that receiving EMS assistance only Over the 4-year study interval, HEMS assistance saved a total of 29 additional lives. No statistically significant differences in quality of life were found between assistance with HEMS or with EMS. Two years after trauma the mean EQ-5D utility score was 0.70 versus 0.71 respectively. The incremental cost-effectiveness ratio for HEMS versus EMS was 28,327 Euro per QALY. The sensitivity analysis showed a cost-effectiveness ratio between 16,000 and 62,000 Euro. CONCLUSION: In the Netherlands, the costs of HEMS assistance per QALY remain below the acceptance threshold. HEMS should therefore be considered as cost effective",Br J Surg. 2009 Nov;96(11):1365-70,10.1002/bjs.6720
8686,Patient-specific resurfacing implant knee surgery in subjects with early osteoarthritis results in medial pivot and lateral femoral rollback during flexion: a retrospective pilot study,Episealer implants; Fluoroscopy; Focal chondral lesions; Knee kinematics; Metallic resurfacing implants; Osteoarthritis; Osteochondral lesions; TKA; UKA,"PURPOSE: Metallic resurfacing implants have been developed for the treatment of early, small, condylar and trochlear osteoarthritis (OA) lesions. They represent an option for patients who do not fulfill the criteria for unicompartmental knee arthroplasty (UKA) or total knee arthroplasty (TKA) or are too old for biological treatment. Although clinical evidence has been collected for different resurfacing types, the in vivo post-operative knee kinematics remain unknown. The present study aims to analyze the knee kinematics in subjects with patient-specific episealer implants. This study hypothesized that patient-specific resurfacing implants would lead to knee kinematics close to healthy knees, resulting in medial pivot and a high degree of femoral rollback during flexion. METHODS: Retrospective study design. Fluoroscopic analysis during unloaded flexion-extension and loaded lunge was conducted at > 12 months post-surgery in ten episealer knees, and compared to ten healthy knees. Pre- and post-operative clinical data of the episealer knees were collected using a visual analog scale (VAS), the EQ 5d Health, and the Knee Injury and Osteoarthritis Outcome Score (KOOS) questionnaires. RESULTS: A consistent medial pivot was observed in both episealer and healthy knees. Non-significant differences were found in the unloaded (p = 0.15) and loaded (p = 0.51) activities. Although lateral rollback was observed in both groups, it was significantly higher for the episealer knees in both the unloaded (p = 0.02) and loaded (p = 0.01) activities Coupled axial rotation was significantly higher in the unloaded (p = 0.001) but not in the loaded (p = 0.06) activity in the episealer knees. Improved scores were observed at 1-year post-surgery in the episealer subjects for the VAS (p = 0.001), KOOS (p = 0.001) and EQ Health (p = 0.004). CONCLUSION: At 12 month follow-up, a clear physiological knee kinematics pattern of medial pivot, lateral femoral rollback and coupled axial external femoral rotation during flexion was observed in patients treated with an episealer resurfacing procedure. However, higher femoral rollback and axial external rotation in comparison to healthy knees was observed, suggesting possible post-operative muscle weakness and consequent insufficient stabilization at high flexion",Knee Surg Sports Traumatol Arthrosc. 2021 Oct 3,10.1007/s00167-021-06749-8
11089,Unchained melody: revisiting the estimation of SF-6D values,"Activities of Daily Living; Cost-Benefit Analysis/methods; Health Status; Humans; Mental Healing; Models, Econometric; Pain/epidemiology; Quality of Life; Quality-Adjusted Life Years; Reproducibility of Results; Social Participation; Surveys and Questionnaires/standards; United Kingdom; EQ-5D; Quality of life; SF-6D; Time trade-off; UK","PURPOSE: In the original SF-6D valuation study, the analytical design inherited conventions that detrimentally affected its ability to predict values on a quality-adjusted life year (QALY) scale. Our objective is to estimate UK values for SF-6D states using the original data and multi-attribute utility (MAU) regression after addressing its limitations and to compare the revised SF-6D and EQ-5D value predictions. METHODS: Using the unaltered data (611 respondents, 3503 SG responses), the parameters of the original MAU model were re-estimated under three alternative error specifications, known as the instant, episodic, and angular random utility models. Value predictions on a QALY scale were compared to EQ-5D3L predictions using the 1996 Health Survey for England. RESULTS: Contrary to the original results, the revised SF-6D value predictions range below 0 QALYs (i.e., worse than death) and agree largely with EQ-5D predictions after adjusting for scale. Although a QALY is defined as a year in optimal health, the SF-6D sets a higher standard for optimal health than the EQ-5D-3L; therefore, it has larger units on a QALY scale by construction (20.9 % more). CONCLUSIONS: Much of the debate in health valuation has focused on differences between preference elicitation tasks, sampling, and instruments. After correcting errant econometric practices and adjusting for differences in QALY scale between the EQ-5D and SF-6D values, the revised predictions demonstrate convergent validity, making them more suitable for UK economic evaluations compared to original estimates",Eur J Health Econ. 2016 Sep;17(7):865-73,10.1007/s10198-015-0727-4
12286,"Associations of depression and anxiety with gender, age, health-related quality of life and symptoms in primary care COPD patients","Adult; Aged; Aged, 80 and over; Anxiety/diagnosis/epidemiology; Cross-Sectional Studies; Depression/diagnosis/epidemiology; Female; Health Status Indicators; Humans; Male; Middle Aged; Primary Health Care; Pulmonary Disease, Chronic Obstructive/physiopathology; Quality of Life; United Kingdom/epidemiology","BACKGROUND: Under-diagnosis of anxiety and depression in Chronic Obstructive Pulmonary Disease (COPD) patients may have a negative impact on patient quality of life and result in disparity between prevalence and the recognition and treatment of these symptoms. OBJECTIVE: To reveal associations of depression and anxiety with demographic, health-related quality of life and clinical characteristics of COPD patients seen in UK primary care. METHODS: Cross-sectional population-based postal survey of COPD patients comprising the EQ-5D visual analogue scale (EQ-5D(VAS)), the COPD symptom control questionnaire, the Hospital Anxiety and Depression Scale, the Medical Research Council dyspnea index. Demographic and spirometric data were collected from general practice records. RESULTS: A total of 170 (57%) patients consented to take part. Data are reported on 110 of these patients for whom up-to-date spirometry was available Approximately one in five participants reported 'caseness' for depression (20.8%) and one in three reported anxiety (32.7%). Age and high levels of symptoms were independent predictors of anxiety and depression, as was the EQ-5D(VAS) of depression. CONCLUSIONS: These data suggest that in UK primary care, depressive and anxious symptoms in COPD are related to age and high levels of symptoms Depression is also associated with lower patient-reported generic health status The data suggest that assessment and treatment for depression and anxiety should be considered for all COPD patients, not just those with more severe clinical levels of disease. The potential of the EQ-5D(VAS) as a screening tool for anxiety and depression in primary care COPD patients also merits study",Fam Pract. 2007 Jun;24(3):217-23,10.1093/fampra/cmm009
3024,Manipulation under anesthesia for frozen shoulders : a retrospective cohort study,"Anesthesia, General; Bursitis/therapy; Disability Evaluation; Female; Humans; Male; Manipulation, Orthopedic/methods; Middle Aged; Physical Therapy Modalities; Retrospective Studies; Surveys and Questionnaires","MUA, manipulation under anesthesia ; FS, frozen shoulder ; SPADI, Shoulder Pain and Disability Score ; OSS, Oxford Shoulder Score ; NPRS, Numeric Paind Rating Scale. Manipulation under anesthesia is a well-established, but controversial, treatment for frozen shoulders. We will evaluate our results of manipulation and physiotherapy in stage two frozen shoulders. Questionnaires were sent to 65 patients with stage 2 frozen shoulders, treated with manipulation under anaesthesia between January 2012 and January 2014. Outcome parameters consisted of SPADI, OSS, EQ-5D, pain and satisfaction. A response rate of 75% was obtained Mean follow up was 21 months (range 11-36). The median SPADI score was 11.2 (IQR 0.8-25.2) and median OSS was 39.0 (IQR 30-43). Only 72% of patients reported that they reached their pre injury level of functioning. A satisfaction rate of 92% was reported. Manipulation is a relatively easy intervention with a high satisfaction rate. We assume that manipulation could shorten the duration of symptoms. However, this needs to be confirmed in a randomized trial with a control group",Acta Orthop Belg. 2019 Dec;85(4):400-405,na
6741,Validated Instruments of Quality of Life (QOL) in Patients With Acute Myeloid Leukemia (AML) and Other Cancers,acute myeloid leukemia; instrument validation; patient-reported outcomes (PRO); quality of life; review (article); validation,"INTRODUCTION: Acute myeloid leukemia (AML) can negatively impact quality of life (QOL). Few QOL instruments are specific to and have been validated in AML. This review aims to identify QOL instruments that have been validated in patients with AML and other cancers and summarize their psychometric properties reported in published literature. A literature review search was performed using PubMed and OVID (Biosis, Embase, MEDLINE) databases through June 25, 2020. Search terms included: QOL, health-related QOL, patient-reported outcomes and validity, reliability, validated, tools, instruments, test-retest, and leukemia myeloid acute, leukemia, myeloid, acute, acute myeloid leukemia. Articles were included if they focused on cancer and reported psychometric properties that could be extracted. Abstracts and their references were reviewed for inclusion. RESULTS: Twelve evaluating ten instruments were included. Functional Assessment of Cancer Therapy Leukemia (FACT-Leu) showed internal consistency (IC) of α = 0.86 to >0.9, correlation with EQ-5D-3L of r > 0.50, correlation with European Organisation for Research and Treatment of Cancer (EORTC) QLQ-Leu of ρ = 0.29-0.63, test-retest reliability of κ = 0.861. FACT-F showed correlations with EORTC QLQ-C30 of r = 0.40-0.83. Hematological Malignancy Patient-Reported Outcome (HM-PRO) showed intraclass correlation coefficient (ICC) of 0.94-0.98. EORTC-8D and EQ-5D-3L showed ICC = 0.595, correlations with each other of ρ = 0.137-0.634 and with EORTC QLQ-C30 of r = 0.651-0.917. EORTC QLQ-C30 showed person separation reliability of 0.47 to 0.90 and patient-observer agreement of 0.85. Life Ingredient Profile (LIP) showed IC of α = 0.29-0.77 and test-retest reliability of κ = 0.42-1.0. QOL-E showed correlation with FACT-general of R = 0.71, internal validity of α = 0.7, and test-retest reliability of standardized Cronbach's α = 0.7-0.92. EORTC QLQ-Leu showed IC of α = 0.6-0.79. The Acute Myeloid Leukemia-Quality of Life (AML-QOL) instrument showed IC of α = 0.72, correlations with EORTC QLQ-30 of magnitudes ρ = 0.59-0.72, and test-retest reliability of ICC = 0.52-0.91. CONCLUSION: Although several QOL instruments have been validated, more research is needed to determine the most clinically useful instruments in patients with AML",Front Pharmacol. 2020 Jul 24;11:1109,10.3389/fphar.2020.01109
11505,Social and economic costs and health-related quality of life in non-institutionalised patients with cystic fibrosis in the United Kingdom,"Adolescent; Adult; Caregivers/statistics & numerical data; Child; Child, Preschool; Cost of Illness; Cross-Sectional Studies; Cystic Fibrosis/economics/physiopathology/psychology; Female; Health Care Costs/statistics & numerical data; Health Resources/economics; Health Status; Humans; Male; Outpatients; Patient Care/economics; Primary Health Care/economics; Quality of Life; Retirement/economics; Retrospective Studies; Social Environment; Surveys and Questionnaires; United Kingdom; Young Adult","BACKGROUND: This study aimed to determine the societal economic burden and health-related quality of life (HRQOL) of cystic fibrosis (CF) patients in the UK. METHODS: A bottom-up cost-of-illness, cross-sectional, retrospective analysis of 74 patients was conducted aiming to estimate the economic impact of CF. Data on demographic characteristics, health resource utilisation, informal care, productivity losses and HRQOL were collected from questionnaires completed by patients or their caregivers. HRQOL was measured with the EuroQol 5-domain (EQ-5D) instrument. RESULTS: Using unit costs for 2012 we found that the average annual cost for a CF patient was €48,603, with direct health care costs amounting to €20,854 (42.9 % of total costs), direct non-health care costs being €21,528 (44.3 %) and indirect costs attributable to productivity losses being €6,222 (12.8 %). On average, the largest expenditures by far were accounted for by informal care (44.1 %), followed by medications (14.5 %), acute hospitalisations (13.9 %), early retirement (9.1 %) and outpatient and primary health care visits (7.9 %). Sharp differences existed depending on whether CF patients were in need of caregiver help (€76,271 versus €26,335). In adult CF patients, mean EQ-5D index scores were 0.64 (0.93 in the general population) and mean EQ-5D visual analogue scale scores were 62.23 (86.84 in the general population); among caregivers, these scores were 0.836 and 80.85, respectively. DISCUSSION: Our analysis highlights the importance of the economic and quality of life consequences of CF from a societal perspective. The results highlight that beyond conventional costs such as acute hospitalisations, medication and outpatient and primary care visits, indirect costs related to informal care and early retirement, have significant societal implications. Similarly, our analysis showed that the average EQ-5D index score of adult CF patients was significantly lower than in the general population, an indication that a methodological bias may exist in using the latter in economic analyses. CONCLUSION: CF poses a significant cost burden on UK society, with non-health care and indirect costs representing 57 % of total average costs, and HRQOL being considerably lower than in the general population",BMC Health Serv Res. 2015 Sep 28;15:428,10.1186/s12913-015-1061-3
